Wavelength  [nm],3nm Extinction [a.u.],5nm Extinction [a.u.],7nm Extinction [a.u.],9nm Extinction [a.u.],11nm Extinction [a.u.],13nm Extinction [a.u.],15nm Extinction [a.u.],17nm Extinction [a.u.]
248.45948000000001,NaN,NaN,-0.13830000000000001,-0.30103000000000002,0.11998,0.14082,0.90308999999999995,0.71599999999999997
248.72754,0.19458,-0.13225999999999999,-0.12494,NaN,0.36575999999999997,0.065500000000000003,0.49884000000000001,-0.023480000000000001
248.99558999999999,0.61541999999999997,-0.44716,NaN,NaN,NaN,0.55930999999999997,-1.2900400000000001,NaN
249.26363000000001,0.063049999999999995,0.26962000000000003,0.041390000000000003,NaN,0.35217999999999999,0.21560000000000001,-0.066949999999999996,NaN
249.53165999999999,-0.17609,0.10032000000000001,0.10473,0.45229999999999998,-0.30871999999999999,NaN,NaN,-0.35217999999999999
249.79969,NaN,NaN,-0.39794000000000002,1.3489500000000001,-0.30103000000000002,NaN,0.36797999999999997,-0.33774999999999999
250.06771000000001,NaN,-0.1217,-0.92081999999999997,NaN,NaN,0.20412,1.1461300000000001,-0.30103000000000002
250.33572000000001,-1.50515,-0.30909999999999999,0.79005000000000003,NaN,0.72699999999999998,0.16633000000000001,NaN,0.55284
250.60373000000001,0.086190000000000003,-0.058740000000000001,0.21806,NaN,0.54407000000000005,NaN,0.44369999999999998,NaN
250.87172000000001,-0.23552999999999999,-0.81823000000000001,0.25527,NaN,0.45079000000000002,0.92427999999999999,NaN,-0.45229999999999998
251.13971000000001,-0.73238999999999999,NaN,0.03218,-0.16914000000000001,1.3010299999999999,0.18406,-0.40368999999999999,-0.074630000000000002
251.40769,NaN,NaN,0.43933,0.10791000000000001,NaN,0.17286000000000001,0.071690000000000004,0.091079999999999994
251.67565999999999,NaN,0.13119,0,-0.19189000000000001,0,NaN,NaN,1.3802099999999999
251.94362000000001,NaN,-0.099080000000000001,-0.10645,-0.24304000000000001,0.30103000000000002,NaN,0.22724,0.01703
252.21158,-1.47712,NaN,0.43933,0.14341999999999999,NaN,0.67923,-0.12494,0.55630000000000002
252.47953000000001,NaN,NaN,-0.33882000000000001,NaN,-0.10145999999999999,0.44716,0.28172999999999998,NaN
252.74746999999999,NaN,0.12155000000000001,0.01022,0.099699999999999997,NaN,0.42597000000000002,0.066949999999999996,-1.1139399999999999
253.0154,NaN,-0.099640000000000006,0.02172,0.60206000000000004,NaN,-0.19189000000000001,0.087150000000000005,NaN
253.28333000000001,-0.15323000000000001,-0.058169999999999999,-0.13830000000000001,0.16481000000000001,-1.716,0.77815000000000001,0.24304000000000001,-0.053870000000000001
253.55124000000001,-0.33099000000000001,NaN,0,Inf,1.1461300000000001,0.46072999999999997,NaN,-0.37819999999999998
253.81915000000001,-0.044810000000000003,-0.85672999999999999,0.30103000000000002,0.33578999999999998,NaN,0.20091999999999999,NaN,0.68425000000000002
254.08705,-0.02929,-0.29003000000000001,0.020199999999999999,0.03218,-0.24778,0.22184999999999999,0.035720000000000002,0.32634000000000002
254.35495,0.096909999999999996,NaN,0.05799,-0.070580000000000004,1.04139,0.32451000000000002,0.096909999999999996,0.01072
254.62282999999999,-0.33882000000000001,0.74287000000000003,-0.13683999999999999,-0.13566,0,NaN,0.15490000000000001,0.35471999999999998
254.89071000000001,0.51663000000000003,0.18917999999999999,-0.60924,0.34242,NaN,-0.1963,0.30103000000000002,0.36548999999999998
255.15858,0,NaN,-0.04743,NaN,0.15490000000000001,-0.22184999999999999,0.27035999999999999,0.15761
255.42644000000001,NaN,0.67415000000000003,0.089399999999999993,0.35217999999999999,-0.096909999999999996,0.28806999999999999,NaN,-0.26884999999999998
255.6943,NaN,NaN,-0.16914000000000001,0.21387999999999999,-0.17194000000000001,NaN,NaN,-0.15261
255.96214000000001,NaN,NaN,NaN,NaN,0,NaN,NaN,0.47711999999999999
256.22998000000001,0.47711999999999999,0.68962999999999997,1,0.017729999999999999,NaN,0.18906000000000001,0.64097999999999999,Inf
256.49781000000002,0.05552,-0.65320999999999996,Inf,0.13658000000000001,0.18709000000000001,NaN,0.41842000000000001,0.15126999999999999
256.76562999999999,-0.47711999999999999,0.061109999999999998,0.65320999999999996,0.46583999999999998,0.25527,1.1139399999999999,0.17609,-0.045760000000000002
257.03345000000002,NaN,NaN,NaN,-0.33578999999999998,0.021190000000000001,0.60840000000000005,NaN,NaN
